ip,datetime,gmt,request,status,size,referer,browser,country,detected
116.206.14.7,23-Jul 2019 15:13:52,+0700],GET /bkd_baru/assets/images/scan_kinerja/D0127__15-07-19_06.05_MATERI_ibubu.pdf HTTP/1.1,200.0,600693,http://universitas.com/bkd_baru/bidang_pengabdian,Mozilla/5.0 (Windows NT 6.1; rv:12.0) Gecko/20100101 Firefox/12.0,Indonesia,AMAN
114.125.251.239,25-Jul 2019 21:57:36,+0700],GET /bkd_baru/assets/images/scan_kinerja/D0073__24-07-19_16.58_1_RPS_PSIKOLOGI_UMUM_2018-2019_2.pdf HTTP/1.1,200.0,470513,http://universitas.com/bkd_baru/kinerja_dosen/rekap_kinerja/D0073,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:66.0) Gecko/20100101 Firefox/66.0,Indonesia,AMAN
36.71.239.56,24-Jul 2019 19:53:47,+0700],GET /bkd_baru/assets/file/Pendidikan-min.pdf HTTP/1.1,304.0,-,http://universitas.com/bkd_baru/bidang_pendidikan/edit/OTIwMw,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML,Indonesia,AMAN
182.0.200.209,24-Jul 2019 11:27:18,+0700],GET /bkd_baru/assets/images/scan_penugasan/D0058__19-07-19_11.18_Undangan_Jadwal.pdf HTTP/1.1,206.0,177312,http://universitas.com/bkd_baru/bidang_penunjang,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0,Indonesia,AMAN
180.178.99.174,25-Jul 2019 7:56:51,+0700],GET /bkd_baru/assets/images/scan_penugasan/D0295__19-07-19_07.21_SK_MENGAJAR_SEMESTER_GENAP_FEBRUARI_2019.pdf HTTP/1.1,200.0,1530897,http://universitas.com/bkd_baru//kinerja_dosen/beri_nilai/9203/D0295,Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:67.0) Gecko/20100101 Firefox/67.0,Indonesia,AMAN
36.72.191.197,23-Jul 2019 14:52:49,+0700],GET /bkd_baru//home/logout HTTP/1.1,307.0,-,http://universitas.com/bkd_baru/home,Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML,Indonesia,AMAN
120.188.92.89,24-Jul 2019 22:39:55,+0700],GET /bkd_baru/assets/images/scan_penugasan/D0073__24-07-19_16.58_surat_tugas_dan_jadwal001.pdf HTTP/1.1,200.0,679289,http://universitas.com/bkd_baru/Bidang_pendidikan,Mozilla/5.0 (Windows NT 6.3; rv:68.0) Gecko/20100101 Firefox/68.0,Indonesia,AMAN
180.178.99.174,23-Jul 2019 12:36:35,+0700],GET /bkd_baru/assets/images/scan_kinerja/D0135__23-07-19_06.50_NILAI_PKN_KPI_2_A.pdf HTTP/1.1,206.0,12549,http://universitas.com/bkd_baru/bidang_pendidikan/edit/OTIwMg,Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML,Indonesia,AMAN
116.206.15.34,24-Jul 2019 13:06:55,+0700],GET /bkd_baru/assets/images/scan_kinerja/D0115__24-07-19_08.01_1._RPS_EKOLOGI_UMUM.pdf HTTP/1.1,206.0,21479,http://universitas.com/bkd_baru/bidang_pendidikan/edit/OTQ4Nw,Mozilla/5.0 (Windows NT 6.1; rv:54.0) Gecko/20100101 Firefox/54.0,Indonesia,AMAN
180.178.99.174,24-Jul 2019 10:38:45,+0700],GET /bkd_baru/assets/file/Pendidikan-min.pdf HTTP/1.1,200.0,174981,http://universitas.com/bkd_baru/bidang_pendidikan/edit/OTAxNw,Mozilla/5.0 (Windows NT 6.1; rv:61.0) Gecko/20100101 Firefox/61.0,Indonesia,AMAN
