ip,datetime,gmt,request,status,size,referer,browser,country,detected
114.125.221.132,01-Jul 2019 10:54:15,+0700],GET /bkd_baru/assets/images/scan_sertifikat/D0001_30-06-2019_nyil.php?path=C:/xampp/htdocs/bkd_baru/application HTTP/1.1,200,12133,http://universitas.com/bkd_baru/assets/images/scan_sertifikat/D0001_30-06-2019_nyil.php?path=C:/xampp/htdocs/bkd_baru,"Mozilla/5.0 (Linux; Android 5.1.1; SM-J111F Build/LMY47V) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.91 Mobile Safari/537.36",Indonesia,BAHAYA
114.125.221.132,01-Jul 2019 10:54:23,+0700],GET /bkd_baru/assets/images/scan_sertifikat/D0001_30-06-2019_nyil.php?path=C:/xampp/htdocs/bkd_baru HTTP/1.1,200,15491,http://universitas.com/bkd_baru/assets/images/scan_sertifikat/D0001_30-06-2019_nyil.php?path=C:/xampp/htdocs/bkd_baru/application,"Mozilla/5.0 (Linux; Android 5.1.1; SM-J111F Build/LMY47V) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.91 Mobile Safari/537.36",Indonesia,BAHAYA
114.125.221.132,01-Jul 2019 10:54:42,+0700],POST /bkd_baru/assets/images/scan_sertifikat/D0001_30-06-2019_nyil.php?path=C:/xampp/htdocs/bkd_baru HTTP/1.1,200,16305,http://universitas.com/bkd_baru/assets/images/scan_sertifikat/D0001_30-06-2019_nyil.php?path=C:/xampp/htdocs/bkd_baru,"Mozilla/5.0 (Linux; Android 5.1.1; SM-J111F Build/LMY47V) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.91 Mobile Safari/537.36",Indonesia,BAHAYA
114.125.221.132,01-Jul 2019 10:55:08,+0700],GET /bkd_baru/uwubahon.php HTTP/1.1,404,1130,-,"Mozilla/5.0 (Linux; Android 5.1.1; SM-J111F Build/LMY47V) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.91 Mobile Safari/537.36",Indonesia,BAHAYA
114.125.221.132,01-Jul 2019 10:55:28,+0700],GET /bkd_baru/awubahon.php HTTP/1.1,200,1735,-,"Mozilla/5.0 (Linux; Android 5.1.1; SM-J111F Build/LMY47V) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.91 Mobile Safari/537.36",Indonesia,BAHAYA
114.125.221.132,01-Jul 2019 10:55:38,+0700],POST /bkd_baru/awubahon.php HTTP/1.1,200,12421,http://universitas.com/bkd_baru/awubahon.php,"Mozilla/5.0 (Linux; Android 5.1.1; SM-J111F Build/LMY47V) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.91 Mobile Safari/537.36",Indonesia,BAHAYA
114.125.207.5,01-Jul 2019 10:55:57,+0700],GET / HTTP/1.1,302,-,-,"Mozilla/5.0 (Linux; Android 5.1.1; SM-J111F Build/LMY47V) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.91 Mobile Safari/537.36",Indonesia,AMAN
114.125.207.5,01-Jul 2019 10:55:57,+0700],GET /bkd_baru HTTP/1.1,301,360,-,"Mozilla/5.0 (Linux; Android 5.1.1; SM-J111F Build/LMY47V) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.91 Mobile Safari/537.36",Indonesia,AMAN
114.125.207.5,01-Jul 2019 10:55:57,+0700],GET /bkd_baru/ HTTP/1.1,200,2416,-,"Mozilla/5.0 (Linux; Android 5.1.1; SM-J111F Build/LMY47V) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.91 Mobile Safari/537.36",Indonesia,AMAN
114.124.140.168,17-Jul 2019 21:11:54,+0700],GET /bkd_baru/bidang_pendidikan/edit/ODM3MA HTTP/1.1,200,31568,http://universitas.com/bkd_baru/bidang_pendidikan,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.3 Safari/605.1.15",Indonesia,AMAN
