ip,datetime,gmt,request,status,size,referer,browser,country,detected
8.37.233.207,23-Jul 2019 14:30:24,+0700],GET /bkd_baru/assets/css/images/pattern.jpg HTTP/1.1,200.0,7080,http://universitas.com/bkd_baru/assets/css/ace.css,Mozilla/5.0 (Linux; U; Android 9; en-US; Redmi Note 7 Build/PKQ1.180904.001) AppleWebKit/537.36 (KHTML,United States,DICURIGAI
180.178.99.174,25-Jul 2019 7:46:41,+0700],GET /bkd_baru/assets/images/scan_kinerja/D0296__18-07-19_07.32_DHMD_MSI_2D.pdf HTTP/1.1,206.0,698627,http://universitas.com/bkd_baru//kinerja_dosen/beri_nilai/9028/D0296,Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:67.0) Gecko/20100101 Firefox/67.0,Indonesia,AMAN
180.178.99.174,24-Jul 2019 13:25:29,+0700],GET /bkd_baru//home/logout HTTP/1.1,307.0,-,http://universitas.com/bkd_baru/bidang_penunjang,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0,Indonesia,AMAN
114.125.251.97,25-Jul 2019 22:40:28,+0700],GET /bkd_baru/assets/images/scan_kinerja/D0099__23-07-19_18.15_KELAS_2A_DAN_2B.pdf HTTP/1.1,206.0,947756,http://universitas.com/bkd_baru/kinerja_dosen/rekap_kinerja/D0099,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:66.0) Gecko/20100101 Firefox/66.0,Indonesia,AMAN
120.188.92.89,24-Jul 2019 22:38:53,+0700],GET /bkd_baru/undefined HTTP/1.1,404.0,1130,http://universitas.com/bkd_baru/bidang_pendidikan,Mozilla/5.0 (Windows NT 6.3; rv:68.0) Gecko/20100101 Firefox/68.0,Indonesia,AMAN
180.178.99.174,23-Jul 2019 14:33:37,+0700],GET /bkd_baru/assets/images/scan_kinerja/D0240__23-07-19_05.06_DHM_DHD_intro_2c.pdf HTTP/1.1,206.0,65536,http://universitas.com/bkd_baru/Bidang_pendidikan,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:68.0) Gecko/20100101 Firefox/68.0,Indonesia,AMAN
180.178.99.174,23-Jul 2019 14:12:33,+0700],GET /bkd_baru/assets/css/ace-rtl.css HTTP/1.1,200.0,152201,http://universitas.com/bkd_baru/,Mozilla/5.0 (Windows NT 6.3; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0,Indonesia,AMAN
180.178.99.174,23-Jul 2019 9:57:37,+0700],GET /bkd_baru/assets/images/scan_kinerja/D0194__18-07-19_12.05_DHM,,,,,Indonesia,AMAN
140.213.50.46,23-Jul 2019 21:31:21,+0700],GET /bkd_baru/assets/fonts/OpenSans-300.woff HTTP/1.1,200.0,22656,http://universitas.com/bkd_baru/assets/css/ace-fonts.css,Mozilla/5.0 (Linux; Android 5.1.1; A51w) AppleWebKit/537.36 (KHTML,Indonesia,AMAN
180.178.99.174,26-Jul 2019 13:45:21,+0700],GET /bkd_baru/assets/css/ace-rtl.css HTTP/1.1,200.0,152201,http://universitas.com/bkd_baru/,Mozilla/5.0 (Windows NT 6.1; rv:50.0) Gecko/20100101 Firefox/50.0,Indonesia,AMAN
114.122.80.132,24-Jul 2019 15:33:41,+0700],GET /bkd_baru/assets/images/scan_kinerja/D0115__24-07-19_08.03_3._DHM-DHD-DNM_METLIT_P_BIO_6_C.pdf HTTP/1.1,200.0,780885,http://universitas.com/bkd_baru/bidang_pendidikan/edit/OTQ4OQ,Mozilla/5.0 (Windows NT 6.1; rv:54.0) Gecko/20100101 Firefox/54.0,Indonesia,AMAN
180.178.99.174,25-Jul 2019 9:17:33,+0700],GET /bkd_baru/assets/fonts/fontawesome-webfont.woff?v=4.2.0 HTTP/1.1,200.0,65452,http://universitas.com/bkd_baru/assets/css/font-awesome.css,Mozilla/5.0 (Windows NT 6.3; rv:68.0) Gecko/20100101 Firefox/68.0,Indonesia,AMAN
193.188.22.56,18-Jul 2019 2:16:48,+0700],\x03,400.0,981,-,-,Russia,DICURIGAI
180.178.99.174,23-Jul 2019 10:00:42,+0700],GET /bkd/index.php HTTP/1.1,302.0,-,http://sc.syekhnurjati.ac.id/smartcampus/dosen/index.php,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:68.0) Gecko/20100101 Firefox/68.0,Indonesia,AMAN
182.1.80.38,23-Jul 2019 10:35:48,+0700],GET /bkd_baru/assets/images/scan_kinerja/D0273__19-07-19_15.24_RPS.pdf HTTP/1.1,206.0,65536,http://universitas.com/bkd_baru/bidang_pendidikan/edit/OTIzMQ,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:44.0) Gecko/20100101 Firefox/44.0,Indonesia,AMAN
180.178.99.174,24-Jul 2019 7:35:00,+0700],GET /bkd_baru//home/logout HTTP/1.1,307.0,-,http://universitas.com/bkd_baru/bidang_penunjang,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:68.0) Gecko/20100101 Firefox/68.0,Indonesia,AMAN
180.178.99.174,25-Jul 2019 12:42:37,+0700],POST /bkd_baru/kinerja_dosen/do_penilaian/D0096 HTTP/1.1,303.0,-,http://universitas.com/bkd_baru//kinerja_dosen/beri_nilai/9136/D0096,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML,Indonesia,AMAN
180.178.99.174,25-Jul 2019 9:02:20,+0700],GET /bkd_baru/assets/images/scan_kinerja/D0218__24-07-19_19.01_NILAI_SLA_4.pdf HTTP/1.1,206.0,134223,http://universitas.com/bkd_baru/kinerja_dosen/rekap_kinerja/D0218,Mozilla/5.0 (Windows NT 6.3; rv:68.0) Gecko/20100101 Firefox/68.0,Indonesia,AMAN
140.213.22.150,24-Jul 2019 21:16:06,+0700],GET /bkd_baru/login HTTP/1.1,200.0,5331,http://universitas.com/bkd_baru/login,Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML,Indonesia,AMAN
114.124.137.165,24-Jul 2019 0:12:15,+0700],GET /bkd_baru/assets/js/jquery.js HTTP/1.1,200.0,247351,http://universitas.com/bkd_baru/,Mozilla/5.0 (Linux; Android 7.1.1; CPH1729) AppleWebKit/537.36 (KHTML,Indonesia,AMAN
